e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
27362;CLP;Prešov;;Bardejov;Slovenská-AZ,sm PO;Železničná,autobusová stanica,P,vnk OC Makos,Billa;;49.297328;21.280708
27363;CLP;Prešov;;Bardejov;Slovenská-AZ,sm PO;Železničná,autobusová stanica,P,vnt OC Makos,Billa;;49.297328;21.280708
27364;CLP;Prešov;;Bardejov;Slovenská-AZ,sm PO;Železničná,autobusová stanica,Ľ,vnt OC Makos,Billa;;49.297328;21.280708
27365;CLP;Prešov;;Bardejov;Slovenská-AZ,sm PO;Železničná,autobusová stanica,Ľ,vnk OC Makos,Billa;;49.297328;21.280708
11207;CLV;Bratislava;;Bratislava 2 MČ P.Biskupi;Svornosti;Parkovisko OC Kaufland, OC PRIMUM, Intercora vstup OC Kaufland, SUPER ZOO, DM drogéria,PEPCO,Dráčik, KIK;;48.131523;17.192468
11208;CLV;Bratislava;;Bratislava 2 MČ P.Biskupi;Svornosti;Parkovisko OC Kaufland, OC PRIMUM, Intercora vstup OC Kaufland, SUPER ZOO, DM drogéria,PEPCO,Dráčik, KIK;;48.131523;17.192468
11183;CLV;Bratislava;;Bratislava 2 MČ Ružinov;Mlynské Nivy/Páričkova-VÚB;smer OC Nivy SAD,1;;48.147268;17.125254
11184;CLV;Bratislava;;Bratislava 2 MČ Ružinov;Mlynské Nivy/Páričkova-VÚB;OC Nivy,stanica SAD,1;;48.147268;17.125254
11185;CLV;Bratislava;;Bratislava 2 MČ Ružinov;Mlynské Nivy/Páričkova-VÚB;OC Nivy, stanica SAD,2;;48.147325;17.125512
11186;CLV;Bratislava;;Bratislava 2 MČ Ružinov;Mlynské Nivy/Páričkova-VÚB;OC Nivy SAD,2, smer centrum;;48.147325;17.125512
11222;CLV;Bratislava;;Bratislava 2 MČ Ružinov;Mlynské Nivy/Páričkova-VÚB;OC Nivy,stanica SAD,3;;48.147322;17.12571
11223;CLV;Bratislava;;Bratislava 2 MČ Ružinov;Mlynské Nivy/Páričkova-VÚB;OC Nivy SAD,3, smer centrum;;48.147322;17.12571
