e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
40714;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Šintavská/Budatínska,J;príjazd k Tescu,3 tenisové kurty,OC Danubia,základná škola;;48.10834;17.100161
40715;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Šintavská/Budatínska,J;príjazd k Tescu,4 tenisové kurty,OC Danubia,základná škola;;48.108348;17.100279
40750;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Dolnozemsk/Žehrian/MIVA,E-57,O;výpad.sm CLO Maď/Rak,Ľ,1 Poliklinika Pro Care, obyt.súbor Melrose Place;;48.098112;17.121266
40751;24;Bratislava;Bratislava 5;Bratislava 5-Petržalka;Dolnozemsk/Žehrian/MIVA,E-57,O;príj.od CLO Maď,smPríst.m.,1 Poliklinika Pro Care, obyt.súbor Melrose Place;;48.098112;17.121266
40753;24;Bratislava;Bratislava 1;Bratislava 1-Staré Mesto;Jelenia,J;centrum,oplotenie zákl.školy;;48.157769;17.111575
40783;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Žitná/Hečkova/FK Rača,J;zast.MHD,ČS OMV,3 Stredná polygrafická škola,kúpalisko;;48.202901;17.149391
40784;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Hečkova/Žitná/FK Rača/ČS OMV,J;príj.od PK,zast.MHD,smc,2 Stredná polygrafická škola,kúpalisko;;48.203022;17.149304
40785;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Hečkova/Žitná/FK Rača/ČS OMV,J;príj.od PK,zast.MHD,smc,3 Stredná polygrafická škola,kúpalisko;;48.203038;17.149199
40792;24;Bratislava;Bratislava 3;Bratislava 3-Rača;Hečkova/Žitná/FK Rača/ČS OMV,J;príj.od PK,zast.MHD,smc,1 Stredná polygrafická škola,kúpalisko;;48.20305;17.149355
40793;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Košická/Prístavná;križ.pri moste Apollo,1 Eurovea, Tower 115, nové SND;;48.141932;17.129955
40794;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Košická/Prístavná;križ.pri moste Apollo,2 Eurovea, Tower 115, nové SND;;48.141883;17.129911
40795;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Košická/Prístavná;križ.pri moste Apollo,3 Eurovea, Tower 115, nové SND;;48.141823;17.129869
40796;24;Bratislava;Bratislava 2;Bratislava 2-Ružinov;Košická/Prístavná;križ.pri moste Apollo,4 Eurovea, Tower 115, nové SND;;48.141775;17.129842
40799;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-BA,J;areál Galoper,smer centrum,Ľ,1 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.205894;17.01287
40800;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-BA,J;areál Galoper,smer centrum,Ľ,2 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.205816;17.012898
40801;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-BA,V;areál Galoper,smer centrum,Ľ,1 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.205919;17.014067
40802;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-DNV,V;areál Galloper,smer DNV,1 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.20594;17.014373
40803;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-BA,V;areál Galoper,smer centrum,Ľ,2 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.205926;17.014839
40804;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-DNV,V;areál Galloper,smer DNV,2 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.205948;17.015162
40805;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-BA,V;Hornbach,sm Bory,Volkswagen,reštaurácia, ranč,Ľ;;48.205912;17.015975
40806;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-DNV,V;areál Galloper,smer DNV,3 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.205921;17.016266
40807;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-Volkswagen DNV,O;sm VW/Stupava,Metro,Ľ,1 Kaufland,areál Galloper,Hornbach, OC Bory Mall;;48.206202;17.016703
40808;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta Volkswagen DNV-BA,O;Metro,smc,1 Kaufland,Hornbach, OC Bory Mall;;48.206202;17.016703
40809;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-Volkswagen DNV,O;sm VW/Stupava,Metro,Ľ,2 Kaufland,areál Galloper,Hornbach, OC Bory Mall;;48.206662;17.016358
40810;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta Volkswagen DNV-BA,O;Metro,smc,2 Hornbach, Kaufland,OC Bory Mall;;48.206662;17.016358
40811;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-Volkswagen DNV,O;sm VW/Stupava,Metro,Ľ,3 Kaufland,areál Galloper,Hornbach, OC Bory Mall;;48.207076;17.016037
